SpotApp table;SpotApp columns;SpotApp column datatype;SpotApp column description;SpotApp mandatory column
ACCOUNT;ANNUAL_REVENUE;INT64;;Yes
ACCOUNT;BILLING_COUNTRY;VARCHAR;;Yes
ACCOUNT;ID;VARCHAR;;Yes
ACCOUNT;INDUSTRY;VARCHAR;;Yes
ACCOUNT;NAME;VARCHAR;;Yes
ACCOUNT;NUMBER_OF_EMPLOYEES;INT64;;Yes
ACCOUNT;REGION;VARCHAR;;Yes
ACCOUNT;SIC_DESC;VARCHAR;;Yes
ACCOUNT;TYPE;VARCHAR;;Yes
CURRENCY_TYPE;CONVERSION_RATE;DOUBLE;;Yes
CURRENCY_TYPE;ISO_CODE;VARCHAR;;Yes
OPPORTUNITY;ACCOUNT_ID;VARCHAR;;Yes
OPPORTUNITY;AMOUNT;DOUBLE;;Yes
OPPORTUNITY;CLOSE_DATE;DATE;;Yes
OPPORTUNITY;CREATED_DATE;DATE_TIME;;Yes
OPPORTUNITY;CURRENCY_ISO_CODE;VARCHAR;;Yes
OPPORTUNITY;FORECAST_CATEGORY;VARCHAR;;Yes
OPPORTUNITY;ID;VARCHAR;;Yes
OPPORTUNITY;IS_CLOSED;BOOL;;Yes
OPPORTUNITY;IS_WON;BOOL;;Yes
OPPORTUNITY;LEAD_SOURCE;VARCHAR;;Yes
OPPORTUNITY;NAME;VARCHAR;;Yes
OPPORTUNITY;OPPORTUNITY_SOURCE_MANUAL_C;VARCHAR;;Yes
OPPORTUNITY;OWNER_ID;VARCHAR;;Yes
OPPORTUNITY;PROBABILITY;DOUBLE;;Yes
OPPORTUNITY;STAGE_NAME;VARCHAR;;Yes
OPPORTUNITY;TYPE;VARCHAR;;Yes
USER;ID;VARCHAR;;Yes
USER;NAME;VARCHAR;;Yes
